message-uuid,request-app-id,cycleDate,cycleNumber,comentario
,{{$randomUUID}},05/06/2025,1,Validar enviar vacio el campo message-uuid
null,{{$randomUUID}},05/06/2025,1,Validar enviar  null el campo message-uuid
c8fe81ea-142a-4343-b293-1f212cae6a883,{{$randomUUID}},05/06/2025,1,Validar longitud del campo message-uuid
{{$randomUUID}},,05/06/2025,1,Validar enviar vacio el campo request-app-id
{{$randomUUID}},null,05/06/2025,1,Validar enviar  null el campo request-app-id
{{$randomUUID}},c8fe81ea-142a-4343-b293-1f212cae6a883,05/06/2025,1,Validar longitud del campo request-app-id
{{$randomUUID}},{{$randomUUID}},,1,Validar enviar vacio el campo cycleDate  
{{$randomUUID}},{{$randomUUID}},null,1,Validar enviar  null el campo cycleDate  
{{$randomUUID}},{{$randomUUID}},05/06/20251,1,Validar longitud del campo cycleDate  
{{$randomUUID}},{{$randomUUID}},05/06/2025,,Validar enviar vacio el campo cycleNumber  
{{$randomUUID}},{{$randomUUID}},05/06/2025,null,Validar enviar  null el campo cycleNumber  
{{$randomUUID}},{{$randomUUID}},05/06/2025,fdfldflds,Validar longitud del campo cycleNumber  
